issue_utc,lead_min,method,mae,rmse,n_px
2026-06-20 01:00:00,30,M0,7.9338788986206055,16.226743698120117,202500
2026-06-20 01:00:00,30,M1,6.142192363739014,12.659649848937988,202500
2026-06-20 01:00:00,30,M4,5.909116268157959,11.427522659301758,202500
2026-06-20 01:00:00,60,M0,10.054023742675781,19.759111404418945,202500
2026-06-20 01:00:00,60,M1,8.197661399841309,15.638705253601074,202500
2026-06-20 01:00:00,60,M4,7.688080787658691,14.163161277770996,202500
2026-06-20 01:00:00,120,M0,13.715352058410645,25.54167366027832,202500
2026-06-20 01:00:00,120,M1,11.119935989379883,19.86823272705078,202500
2026-06-20 01:00:00,120,M4,10.458775520324707,18.299650192260742,202500
2026-06-20 01:00:00,180,M0,16.591670989990234,29.627635955810547,202500
2026-06-20 01:00:00,180,M1,13.702678680419922,23.300241470336914,202500
2026-06-20 01:00:00,180,M4,12.925005912780762,21.642454147338867,202500
2026-06-20 01:00:00,240,M0,18.769189834594727,32.70977020263672,202500
2026-06-20 01:00:00,240,M1,15.381881713867188,25.341550827026367,202500
2026-06-20 01:00:00,240,M4,14.837108612060547,23.78346061706543,202500
2026-06-20 01:00:00,300,M0,21.586610794067383,36.48240280151367,202500
2026-06-20 01:00:00,300,M1,16.820274353027344,26.854122161865234,202500
2026-06-20 01:00:00,300,M4,16.30840301513672,25.4130859375,202500
2026-06-20 01:00:00,360,M0,23.43874168395996,38.454139709472656,202500
2026-06-20 01:00:00,360,M1,18.375425338745117,28.371335983276367,202500
2026-06-20 01:00:00,360,M4,17.8083438873291,26.917016983032227,202500
2026-06-20 02:00:00,30,M0,8.586390495300293,17.224637985229492,202500
2026-06-20 02:00:00,30,M1,6.527291297912598,13.231583595275879,202500
2026-06-20 02:00:00,30,M4,6.494224548339844,12.309633255004883,202500
2026-06-20 02:00:00,60,M0,11.48470401763916,22.133705139160156,202500
2026-06-20 02:00:00,60,M1,8.907772064208984,17.054275512695312,202500
2026-06-20 02:00:00,60,M4,8.581515312194824,15.417137145996094,202500
2026-06-20 02:00:00,120,M0,15.210390090942383,27.737070083618164,202500
2026-06-20 02:00:00,120,M1,12.26132583618164,21.792644500732422,202500
2026-06-20 02:00:00,120,M4,11.499140739440918,19.44170570373535,202500
2026-06-20 02:00:00,180,M0,17.874052047729492,31.595346450805664,202500
2026-06-20 02:00:00,180,M1,14.40712833404541,24.709659576416016,202500
2026-06-20 02:00:00,180,M4,13.844941139221191,22.802738189697266,202500
2026-06-20 02:00:00,240,M0,20.79389190673828,35.593868255615234,202500
2026-06-20 02:00:00,240,M1,15.833671569824219,26.331029891967773,202500
2026-06-20 02:00:00,240,M4,15.078627586364746,24.16008949279785,202500
2026-06-20 02:00:00,300,M0,22.565128326416016,37.430660247802734,202500
