model,run_utc,valid_kst,step_h,city,rep,t2m_C,tcc_pct,lcc_pct,mcc_pct,hcc_pct,dswrf_avg_Wm2
ECMWF,2026-09-02 12:00:00,2026-09-10 03:00,174,나주,0,18.0,0.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-10 09:00,180,나주,0,21.7,0.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-10 15:00,186,나주,0,27.3,57.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-10 21:00,192,나주,0,21.1,9.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-11 03:00,198,나주,0,19.1,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-11 09:00,204,나주,0,21.8,87.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-11 15:00,210,나주,0,26.7,95.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-11 21:00,216,나주,0,22.4,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-12 03:00,222,나주,0,21.2,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-12 09:00,228,나주,0,21.8,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-12 15:00,234,나주,0,21.8,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-12 21:00,240,나주,0,20.8,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-02 21:00,0,대구,1,21.4,99.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 00:00,3,대구,1,21.0,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 03:00,6,대구,1,20.9,96.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 06:00,9,대구,1,20.6,98.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 09:00,12,대구,1,22.5,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 12:00,15,대구,1,24.7,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 15:00,18,대구,1,25.3,94.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 18:00,21,대구,1,23.6,84.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 21:00,24,대구,1,21.5,97.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-04 00:00,27,대구,1,21.1,80.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-04 03:00,30,대구,1,20.0,60.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-04 06:00,33,대구,1,20.0,86.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-04 09:00,36,대구,1,22.8,5.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-04 12:00,39,대구,1,24.6,13.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-04 15:00,42,대구,1,24.3,14.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-04 18:00,45,대구,1,21.7,11.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-04 21:00,48,대구,1,19.8,5.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-05 00:00,51,대구,1,19.5,14.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-05 03:00,54,대구,1,18.9,4.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-05 06:00,57,대구,1,18.6,10.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-05 09:00,60,대구,1,22.3,19.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-05 12:00,63,대구,1,24.4,53.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-05 15:00,66,대구,1,24.0,30.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-05 18:00,69,대구,1,21.9,14.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-05 21:00,72,대구,1,20.4,12.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-06 00:00,75,대구,1,21.0,77.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-06 03:00,78,대구,1,21.0,94.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-06 06:00,81,대구,1,19.9,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-06 09:00,84,대구,1,19.8,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-06 12:00,87,대구,1,20.5,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-06 15:00,90,대구,1,21.3,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-06 18:00,93,대구,1,20.6,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-06 21:00,96,대구,1,20.7,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-07 00:00,99,대구,1,20.9,98.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-07 03:00,102,대구,1,21.0,89.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-07 06:00,105,대구,1,21.0,86.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-07 09:00,108,대구,1,23.2,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-07 12:00,111,대구,1,25.1,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-07 15:00,114,대구,1,25.2,69.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-07 18:00,117,대구,1,23.2,42.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-07 21:00,120,대구,1,20.4,23.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-08 00:00,123,대구,1,20.2,97.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-08 03:00,126,대구,1,19.7,29.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-08 06:00,129,대구,1,19.9,90.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-08 09:00,132,대구,1,23.5,95.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-08 12:00,135,대구,1,25.9,98.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-08 15:00,138,대구,1,25.9,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-08 18:00,141,대구,1,23.3,18.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-08 21:00,144,대구,1,19.6,4.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-09 03:00,150,대구,1,19.2,89.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-09 09:00,156,대구,1,21.5,32.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-09 15:00,162,대구,1,22.1,17.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-09 21:00,168,대구,1,17.3,9.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-10 03:00,174,대구,1,16.9,5.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-10 09:00,180,대구,1,19.4,12.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-10 15:00,186,대구,1,20.4,92.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-10 21:00,192,대구,1,17.6,11.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-11 03:00,198,대구,1,16.6,5.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-11 09:00,204,대구,1,21.7,82.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-11 15:00,210,대구,1,22.6,91.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-11 21:00,216,대구,1,18.7,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-12 03:00,222,대구,1,17.1,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-12 09:00,228,대구,1,20.5,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-12 15:00,234,대구,1,21.3,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-12 21:00,240,대구,1,17.7,99.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-02 21:00,0,대전,1,23.7,88.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 00:00,3,대전,1,22.2,98.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 03:00,6,대전,1,21.6,98.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 06:00,9,대전,1,21.6,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 09:00,12,대전,1,24.2,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 12:00,15,대전,1,27.6,89.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 15:00,18,대전,1,29.6,96.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 18:00,21,대전,1,27.3,34.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 21:00,24,대전,1,24.0,89.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-04 00:00,27,대전,1,22.6,73.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-04 03:00,30,대전,1,21.5,5.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-04 06:00,33,대전,1,20.8,0.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-04 09:00,36,대전,1,23.4,0.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-04 12:00,39,대전,1,26.6,2.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-04 15:00,42,대전,1,27.2,1.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-04 18:00,45,대전,1,24.0,0.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-04 21:00,48,대전,1,21.4,0.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-05 00:00,51,대전,1,20.2,2.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-05 03:00,54,대전,1,19.7,0.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-05 06:00,57,대전,1,18.9,2.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-05 09:00,60,대전,1,22.3,4.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-05 12:00,63,대전,1,26.1,7.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-05 15:00,66,대전,1,27.1,3.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-05 18:00,69,대전,1,24.1,1.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-05 21:00,72,대전,1,21.5,2.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-06 00:00,75,대전,1,20.3,2.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-06 03:00,78,대전,1,20.0,10.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-06 06:00,81,대전,1,20.2,71.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-06 09:00,84,대전,1,20.6,99.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-06 12:00,87,대전,1,23.1,64.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-06 15:00,90,대전,1,23.7,95.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-06 18:00,93,대전,1,22.4,13.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-06 21:00,96,대전,1,21.0,51.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-07 00:00,99,대전,1,20.5,36.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-07 03:00,102,대전,1,19.8,25.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-07 06:00,105,대전,1,19.3,1.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-07 09:00,108,대전,1,23.3,1.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-07 12:00,111,대전,1,28.4,61.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-07 15:00,114,대전,1,28.3,46.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-07 18:00,117,대전,1,26.4,5.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-07 21:00,120,대전,1,22.9,2.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-08 00:00,123,대전,1,21.4,1.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-08 03:00,126,대전,1,19.9,0.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-08 06:00,129,대전,1,18.8,1.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-08 09:00,132,대전,1,23.2,0.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-08 12:00,135,대전,1,27.3,94.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-08 15:00,138,대전,1,28.3,88.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-08 18:00,141,대전,1,25.9,19.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-08 21:00,144,대전,1,23.9,16.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-09 03:00,150,대전,1,20.7,8.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-09 09:00,156,대전,1,22.2,7.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-09 15:00,162,대전,1,25.8,11.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-09 21:00,168,대전,1,19.4,1.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-10 03:00,174,대전,1,17.4,5.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-10 09:00,180,대전,1,19.7,16.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-10 15:00,186,대전,1,24.3,57.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-10 21:00,192,대전,1,19.4,60.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-11 03:00,198,대전,1,17.5,2.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-11 09:00,204,대전,1,21.3,12.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-11 15:00,210,대전,1,26.4,34.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-11 21:00,216,대전,1,20.2,98.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-12 03:00,222,대전,1,18.7,91.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-12 09:00,228,대전,1,20.9,98.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-12 15:00,234,대전,1,24.5,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-12 21:00,240,대전,1,19.6,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-02 21:00,0,부산,1,29.4,66.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 00:00,3,부산,1,25.5,47.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 03:00,6,부산,1,25.4,77.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 06:00,9,부산,1,24.9,77.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 09:00,12,부산,1,25.6,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 12:00,15,부산,1,27.5,80.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 15:00,18,부산,1,27.5,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 18:00,21,부산,1,26.6,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 21:00,24,부산,1,26.5,98.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-04 00:00,27,부산,1,26.3,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-04 03:00,30,부산,1,25.9,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-04 06:00,33,부산,1,26.0,99.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-04 09:00,36,부산,1,26.4,99.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-04 12:00,39,부산,1,26.6,74.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-04 15:00,42,부산,1,26.6,41.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-04 18:00,45,부산,1,26.2,51.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-04 21:00,48,부산,1,25.9,14.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-05 00:00,51,부산,1,26.1,56.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-05 03:00,54,부산,1,25.6,4.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-05 06:00,57,부산,1,25.5,76.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-05 09:00,60,부산,1,26.0,63.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-05 12:00,63,부산,1,26.7,36.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-05 15:00,66,부산,1,27.1,61.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-05 18:00,69,부산,1,27.0,78.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-05 21:00,72,부산,1,27.1,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-06 00:00,75,부산,1,25.6,99.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-06 03:00,78,부산,1,25.6,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-06 06:00,81,부산,1,25.0,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-06 09:00,84,부산,1,25.4,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-06 12:00,87,부산,1,25.3,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-06 15:00,90,부산,1,25.3,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-06 18:00,93,부산,1,24.4,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-06 21:00,96,부산,1,24.4,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-07 00:00,99,부산,1,24.5,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-07 03:00,102,부산,1,24.7,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-07 06:00,105,부산,1,24.5,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-07 09:00,108,부산,1,25.4,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-07 12:00,111,부산,1,26.6,99.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-07 15:00,114,부산,1,27.0,99.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-07 18:00,117,부산,1,26.2,87.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-07 21:00,120,부산,1,25.4,38.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-08 00:00,123,부산,1,25.3,28.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-08 03:00,126,부산,1,25.0,69.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-08 06:00,129,부산,1,24.8,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-08 09:00,132,부산,1,25.1,99.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-08 12:00,135,부산,1,26.8,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-08 15:00,138,부산,1,26.7,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-08 18:00,141,부산,1,26.1,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-08 21:00,144,부산,1,25.4,99.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-09 03:00,150,부산,1,25.2,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-09 09:00,156,부산,1,24.3,99.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-09 15:00,162,부산,1,24.3,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-09 21:00,168,부산,1,23.6,99.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-10 03:00,174,부산,1,23.8,85.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-10 09:00,180,부산,1,24.0,66.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-10 15:00,186,부산,1,24.6,34.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-10 21:00,192,부산,1,25.0,18.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-11 03:00,198,부산,1,25.4,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-11 09:00,204,부산,1,25.2,98.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-11 15:00,210,부산,1,25.4,91.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-11 21:00,216,부산,1,24.8,84.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-12 03:00,222,부산,1,23.3,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-12 09:00,228,부산,1,23.6,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-12 15:00,234,부산,1,23.8,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-12 21:00,240,부산,1,23.0,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-02 21:00,0,서울,1,24.0,11.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 00:00,3,서울,1,22.6,5.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 03:00,6,서울,1,21.8,81.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 06:00,9,서울,1,21.3,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 09:00,12,서울,1,23.2,44.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 12:00,15,서울,1,27.9,22.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 15:00,18,서울,1,29.2,5.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 18:00,21,서울,1,27.8,3.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 21:00,24,서울,1,23.6,2.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-04 00:00,27,서울,1,21.3,1.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-04 03:00,30,서울,1,20.1,0.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-04 06:00,33,서울,1,19.4,0.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-04 09:00,36,서울,1,22.8,0.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-04 12:00,39,서울,1,26.6,0.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-04 15:00,42,서울,1,28.0,16.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-04 18:00,45,서울,1,25.1,3.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-04 21:00,48,서울,1,21.7,1.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-05 00:00,51,서울,1,19.8,28.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-05 03:00,54,서울,1,18.8,2.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-05 06:00,57,서울,1,18.2,37.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-05 09:00,60,서울,1,22.0,26.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-05 12:00,63,서울,1,25.9,37.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-05 15:00,66,서울,1,27.2,53.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-05 18:00,69,서울,1,24.8,7.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-05 21:00,72,서울,1,21.4,0.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-06 00:00,75,서울,1,19.6,0.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-06 03:00,78,서울,1,19.2,0.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-06 06:00,81,서울,1,18.9,1.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-06 09:00,84,서울,1,22.6,0.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-06 12:00,87,서울,1,26.7,17.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-06 15:00,90,서울,1,27.8,59.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-06 18:00,93,서울,1,24.7,5.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-06 21:00,96,서울,1,21.2,1.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-07 00:00,99,서울,1,19.9,1.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-07 03:00,102,서울,1,19.6,1.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-07 06:00,105,서울,1,19.3,1.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-07 09:00,108,서울,1,22.8,1.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-07 12:00,111,서울,1,27.0,1.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-07 15:00,114,서울,1,28.1,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-07 18:00,117,서울,1,25.8,1.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-07 21:00,120,서울,1,22.5,5.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-08 00:00,123,서울,1,20.4,0.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-08 03:00,126,서울,1,19.4,0.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-08 06:00,129,서울,1,18.1,1.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-08 09:00,132,서울,1,22.1,9.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-08 12:00,135,서울,1,26.4,51.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-08 15:00,138,서울,1,28.6,16.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-08 18:00,141,서울,1,27.3,5.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-08 21:00,144,서울,1,23.1,9.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-09 03:00,150,서울,1,21.0,16.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-09 09:00,156,서울,1,21.7,17.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-09 15:00,162,서울,1,25.0,5.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-09 21:00,168,서울,1,18.7,2.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-10 03:00,174,서울,1,16.2,30.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-10 09:00,180,서울,1,19.5,41.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-10 15:00,186,서울,1,24.5,98.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-10 21:00,192,서울,1,19.7,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-11 03:00,198,서울,1,17.7,91.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-11 09:00,204,서울,1,19.3,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-11 15:00,210,서울,1,21.2,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-11 21:00,216,서울,1,19.1,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-12 03:00,222,서울,1,16.4,29.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-12 09:00,228,서울,1,20.4,2.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-12 15:00,234,서울,1,26.9,60.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-12 21:00,240,서울,1,21.8,0.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-02 21:00,0,수원,0,22.8,41.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 00:00,3,수원,0,21.8,20.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 03:00,6,수원,0,21.3,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 06:00,9,수원,0,21.1,100.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 09:00,12,수원,0,24.1,37.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 12:00,15,수원,0,28.5,45.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 15:00,18,수원,0,29.5,24.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 18:00,21,수원,0,27.8,7.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-03 21:00,24,수원,0,24.2,14.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-04 00:00,27,수원,0,21.8,15.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-04 03:00,30,수원,0,20.6,5.0,,,,
ECMWF,2026-09-02 12:00:00,2026-09-04 06:00,33,수원,0,19.4,0.0,,,,
